what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811753451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811799863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811811013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811912503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811916928
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811918387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811932780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811934726
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811953026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811982175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286811984857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812024083
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812026555
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812028238
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812030317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812095346
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812099516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812220893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812221769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812235816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812238508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812296422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812298815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812298990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812315304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812337358
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1286812337368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1286812337368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812343656
error,log,,,"Failed to load properties file for project 'Test'",1286812398814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812399174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1286812399226
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1286812400751
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812401339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812402153
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1286812405251
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1286812410622
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1286812418863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812421060
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812423024
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1286812423036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812425933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812432040
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1286812435791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812438220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812470529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812474970
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812477886
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1286812481937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812484877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812488455
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286812491556
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1286812502519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812504651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812521140
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286812524478
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1286812531877
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1286812533899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812536371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812536890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812537184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812551128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812554169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812618307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812619778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812863939
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286812867476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286812872773
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286813049557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286813061614
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286813061741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286813066865
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286813099646
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286813101277
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1286813103646
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1286813103646
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1286813103647
